company_id	company_name	target_city	sector	account_tier	revenue_aed_bn	revenue_band	revenue_growth_12m_pct	employee_count	primary_fractional_cxo	primary_need_score	secondary_fractional_cxo	secondary_need_score	recommended_service_package	service_mix	estimated_annual_savings_aed	estimated_savings_pct	expected_annual_contract_value_aed	expected_account_ltv_aed	win_probability	weighted_pipeline_value_aed	urgency_score	urgency_tier	pain_archetype	maturity_segment	ai_supported_roles	ai_agent_addons	ideal_next_action	ebitda_margin_pct	employee_growth_12m_pct	digital_maturity_score	cash_flow_volatility_score	reporting_delay_days	compliance_risk_score	attrition_rate_pct	hiring_velocity_score	campaign_roi_x	cac_growth_pct	lead_conversion_pct	process_efficiency_score	on_time_delivery_pct	expansion_complexity_score	fundraising_readiness_score	data_maturity_score	cyber_risk_score	project_backlog_score	automation_potential_score	customer_concentration_score	board_reporting_complexity_score	geographic_spread_count	cfo_need_score	cto_need_score	chro_need_score	cmo_need_score	coo_need_score	full_time_equivalent_cost_aed	fractional_ai_solution_cost_aed	pipeline_stage	need_score_std	need_score_mean	q1_pipeline_inquiries	q2_pipeline_inquiries	q3_pipeline_inquiries	q4_pipeline_inquiries	rev_growth_q1_pct	rev_growth_q2_pct	rev_growth_q3_pct	rev_growth_q4_pct	preferred_outreach_channel	offer_type	ab_test_variant	treatment_flag	days_since_last_contact	sales_touchpoints_90d	meetings_booked_90d	proposal_count_90d	recommended_acv_aed	ai_attach_value_aed	response_probability	baseline_conversion_probability	incremental_uplift_pct	expected_close_days	expected_contract_term_months	upsell_propensity_score	cross_sell_readiness_score	account_health_score	client_churn_risk_score	next_service_expansion_days	forecast_2q_revenue_aed	expected_roi_multiple	company_context_line	hq_zone	hq_zone_context	city	region	country	latitude	longitude
DXB001	Emirates Group	Dubai	Aviation	Tier 1	44.38	Mega	9.6	8785	CHRO	68.1	CMO	59.7	CHRO lead + CMO add-on + AI support	COO-led transformation	2415000	70.7	1772600	2902632	0.394	698404	70.4	High	People scaling	Digitally Mature	CFO	Board Reporting Copilot; FP&A Agent; Compliance Calendar Agent	Run diagnostic outreach	22	1.2	79	53	25	84	23.3	77	1.24	8.4	7.9	51	85.2	90	38	82	57	49	56	27	24	7	56.5	46.2	68.1	59.7	54.2	3415000	1000000	Prospect	7.99	56.94	11	1	12	8	11.8	8.8	7.5	9.8	Partner referral	CXO advisory sprint	A	0	79	1	0	0	1550400	222200	0.589	0.589	0	119	15	68.2	67.6	57.5	36.2	146	453963	2.42	Emirates Group is a Dubai-based aviation corporate in the mega with high pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CMO is the strongest secondary expansion path.	Dubai Silicon Oasis	Innovation-oriented area with scaling, systems, and process design needs.	Dubai	Dubai	UAE	25.129199999999997	55.3752
DXB002	dnata	Dubai	Logistics	Tier 3	5.68	Upper-Mid	13.6	10339	CHRO	60.9	CMO	60.9	CHRO lead + CMO add-on + AI support	COO-led transformation	2415000	70.7	1390750	1617326	0.471	655043	54.9	Moderate	People scaling	Digitally Mature	CFO	Board Reporting Copilot; FP&A Agent; Compliance Calendar Agent	Share tailored problem map	17.2	5.8	76	32	16	73	23.1	87	1.46	8.9	2.7	64	86.6	31	81	77	44	96	53	35	83	5	53.1	44.9	60.9	60.9	45.9	3415000	1000000	Discovery	7.76	53.14	12	13	11	14	12.8	13.2	14.3	15.5	Partner referral	CXO advisory sprint	C	1	35	3	1	0	1172150	218600	0.65	0.6	8.3	74	11	59.1	64.2	62.4	35	109	655043	2.42	dnata is a Dubai-based logistics corporate in the upper-mid with moderate pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CMO is the strongest secondary expansion path.	Dubai South	Logistics and expansion corridor with execution and operating-efficiency relevance.	Dubai	Dubai	UAE	24.880699999999997	55.17365
DXB003	flydubai	Dubai	Aviation	Tier 1	30.07	Mega	5.8	45718	CFO	69.6	CHRO	57.5	CFO lead + CHRO add-on + AI support	COO-led transformation	2760000	70.2	2023950	4203836	0.54	1092933	68.9	High	Finance stress	Managed Complexity	COO	Workflow Monitoring Agent; SLA Alert Agent; Process Mining Agent	Share tailored problem map	11.8	4.2	73	54	32	71	24.3	53	3.18	4	15.3	63	75.9	81	79	48	35	67	69	20	77	3	69.6	53.4	57.5	39.1	54.3	3930000	1170000	Discovery	10.9	54.78	7	6	11	1	3.2	3.6	5.6	7.5	Partner referral	Cost-savings diagnostic	B	1	54	11	2	1	1786150	237800	0.757	0.707	7.1	62	19	68.6	71.6	64.7	31.9	127	1092933	2.36	flydubai is a Dubai-based aviation corporate in the mega with high pressure, where a CFO-led offer is most relevant because the account shows signals of finance stress; CHRO is the strongest secondary expansion path.	DIFC	Financial district with strong executive and transformation demand.	Dubai	Dubai	UAE	25.22595	55.29325
DXB004	Dubai Airports	Dubai	Transport Infrastructure	Tier 4	2.17	Mid	14.2	8910	CMO	60.4	CHRO	51.2	CMO lead + CHRO add-on + AI support	CMO-led advisory	2400000	70	1259800	1306565	0.411	517778	58.4	Moderate	Growth efficiency	Digitally Mature	CFO	Board Reporting Copilot; FP&A Agent; Compliance Calendar Agent	Book discovery call	31.3	16.4	77	41	18	51	9.1	63	1.19	15.4	9.5	84	89.5	62	52	70	58	57	31	53	75	4	48.1	42.5	51.2	60.4	37.5	3430000	1030000	Qualified	8.72	47.94	2	5	10	3	11.3	12.7	16.9	12.2	Founder referral	CXO advisory sprint	C	0	9	7	2	1	1067600	192200	0.618	0.618	0	87	10	53.8	60.8	73.5	31.2	126	517778	2.33	Dubai Airports is a Dubai-based transport infrastructure corporate in the mid with moderate pressure, where a CMO-led offer is most relevant because the account shows signals of growth efficiency; CHRO is the strongest secondary expansion path.	Dubai South	Logistics and expansion corridor with execution and operating-efficiency relevance.	Dubai	Dubai	UAE	24.8982	55.1467
DXB005	DP World	Dubai	Logistics	Tier 3	4.29	Upper-Mid	8.1	16295	CMO	57	CTO	55.3	CMO lead + CTO add-on + AI support	COO-led transformation	2710000	71.9	1464900	1568664	0.438	641626	61	Moderate	Growth efficiency	Managed Complexity	CFO	Board Reporting Copilot; FP&A Agent; Compliance Calendar Agent	Book discovery call	11.8	16.8	66	31	28	44	12.2	24	1.8	15.2	10.9	62	85.9	79	38	56	48	84	47	23	42	1	50.6	55.3	43.1	57	49.7	3770000	1060000	Qualified	5.45	51.14	12	1	1	5	6.1	8.2	6.8	11.2	Warm intro	Cost-savings diagnostic	B	0	12	1	0	0	1253500	211400	0.696	0.696	0	99	10	62.7	65.4	67	32.3	106	417057	2.56	DP World is a Dubai-based logistics corporate in the upper-mid with moderate pressure, where a CMO-led offer is most relevant because the account shows signals of growth efficiency; CTO is the strongest secondary expansion path.	Dubai South	Logistics and expansion corridor with execution and operating-efficiency relevance.	Dubai	Dubai	UAE	24.91255	55.15195
DXB006	Jumeirah Group	Dubai	Hospitality	Tier 4	2.99	Mid	15	17548	CHRO	63.8	COO	60.4	CHRO lead + COO add-on + AI support	CHRO-led scaleup	2570000	71.7	1284000	2047834	0.598	767832	59.6	Moderate	People scaling	Scale-up Pressure	CTO	Automation Scout Agent; Architecture Assistant; Incident Triage Agent	Send commercial proposal	13.5	11	54	69	18	30	17.8	78	2.1	3.6	12.1	72	65.2	47	33	37	42	89	50	80	53	8	49.8	56.6	63.8	48.6	60.4	3585000	1015000	Proposal	6.59	55.84	9	9	3	2	10.6	15.2	13	15.3	Partner referral	Transformation workshop	B	1	11	8	3	1	1069000	215000	0.739	0.689	7.3	38	15	60.7	63.3	65.8	33.5	111	767832	2.53	Jumeirah Group is a Dubai-based hospitality corporate in the mid with moderate pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; COO is the strongest secondary expansion path.	Downtown Dubai	Central business location with high executive visibility and cross-functional complexity.	Dubai	Dubai	UAE	25.181449999999998	55.27895
DXB007	Dubai Holding	Dubai	Conglomerate	Tier 2	20.36	Large	19.5	19757	CHRO	57.1	CMO	53.8	CHRO lead + CMO add-on + AI support	CHRO-led advisory	2415000	70.7	1551750	2492498	0.694	1076914	57.7	Moderate	People scaling	Scale-up Pressure	COO	Workflow Monitoring Agent; SLA Alert Agent; Process Mining Agent	Offer pilot with AI add-ons	24.5	10.8	69	58	5	45	25.9	27	2.35	0.5	6.9	82	68.4	64	43	84	19	73	59	66	65	5	45.6	43.2	57.1	53.8	53.1	3415000	1000000	Negotiation	5.88	50.56	2	4	13	1	17.1	21.2	20.4	19.5	Warm intro	Cost-savings diagnostic	C	1	61	14	6	2	1325950	225800	0.787	0.737	6.8	7	15	62.7	68.8	68.9	30.7	107	1076914	2.42	Dubai Holding is a Dubai-based conglomerate corporate in the large with moderate pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CMO is the strongest secondary expansion path.	Downtown Dubai	Central business location with high executive visibility and cross-functional complexity.	Dubai	Dubai	UAE	25.18565	55.2877
DXB008	TECOM Group	Dubai	Real Estate	Tier 2	22.51	Large	10.9	14055	CFO	47.4	CMO	47.4	CFO lead + CMO add-on + AI support	COO-led transformation	2835000	70.6	1730450	2901912	0.326	564127	44.3	Monitor	Finance stress	Managed Complexity	CTO	Automation Scout Agent; Architecture Assistant; Incident Triage Agent	Run diagnostic outreach	23.7	7.4	47	71	8	31	13.3	57	1.29	-2.7	11.4	76	95.3	32	87	67	50	48	67	56	39	1	47.4	47.3	40.2	47.4	29.7	4015000	1180000	Prospect	7.75	42.4	6	4	11	13	5.9	5.6	9.4	14.3	Warm intro	CXO advisory sprint	C	1	57	11	3	1	1495050	235400	0.627	0.577	8.7	99	16	56.7	56.6	63.7	36.7	123	366683	2.4	TECOM Group is a Dubai-based real estate corporate in the large with monitor pressure, where a CFO-led offer is most relevant because the account shows signals of finance stress; CMO is the strongest secondary expansion path.	Downtown Dubai	Central business location with high executive visibility and cross-functional complexity.	Dubai	Dubai	UAE	25.21435	55.28105
DXB009	Emaar Properties	Dubai	Real Estate	Tier 1	33.61	Mega	9.2	1990	CHRO	58.6	CTO	57	CHRO lead + CTO add-on + AI support	COO-led transformation	2650000	72.2	1713050	3571450	0.591	1012413	58.3	Moderate	People scaling	Managed Complexity	COO	Workflow Monitoring Agent; SLA Alert Agent; Process Mining Agent	Send commercial proposal	26.1	9.2	47	66	16	49	18.6	91	2.41	2.5	7.3	64	77.8	59	28	31	44	85	25	79	57	2	48.8	57	58.6	52.6	53	3670000	1020000	Proposal	3.88	54	3	10	7	4	7.3	4.9	6.9	12.7	Partner referral	Cost-savings diagnostic	B	1	87	15	5	4	1528050	185000	0.73	0.68	7.4	24	20	55.2	58.9	61.6	36.6	110	1012413	2.6	Emaar Properties is a Dubai-based real estate corporate in the mega with moderate pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CTO is the strongest secondary expansion path.	Downtown Dubai	Central business location with high executive visibility and cross-functional complexity.	Dubai	Dubai	UAE	25.2133	55.27825
DXB010	Emaar Development	Dubai	Real Estate	Tier 2	20.06	Large	2.8	3143	COO	66.7	CHRO	63.7	COO lead + CHRO add-on + AI support	COO-led transformation	2540000	70	1716900	4411067	0.448	769171	65	Moderate	Operational complexity	Transformation Gap	CTO	Automation Scout Agent; Architecture Assistant; Incident Triage Agent	Book discovery call	24.1	13.5	53	69	32	59	8.4	78	3.91	1.4	2.6	44	75.4	62	30	83	51	84	92	34	32	11	55.8	58	63.7	49.1	66.7	3630000	1090000	Qualified	6.89	58.66	11	10	11	9	-1.7	4.7	4.4	3.1	Partner referral	Transformation workshop	C	0	4	11	2	1	1451500	265400	0.689	0.689	0	82	23	74.9	68.7	61.5	34.2	119	769171	2.33	Emaar Development is a Dubai-based real estate corporate in the large with moderate pressure, where a COO-led offer is most relevant because the account shows signals of operational complexity; CHRO is the strongest secondary expansion path.	Downtown Dubai	Central business location with high executive visibility and cross-functional complexity.	Dubai	Dubai	UAE	25.192999999999998	55.2814
DXB011	DEWA	Dubai	Utilities	Tier 2	20.33	Large	8.7	29750	CHRO	63.6	COO	57.4	CHRO lead + COO add-on + AI support	CHRO-led advisory	2570000	71.7	1580050	2554115	0.747	1180297	66.7	High	People scaling	Managed Complexity	CTO	Automation Scout Agent; Architecture Assistant; Incident Triage Agent	Convert pilot to annual retainer	25.6	2.1	80	38	12	41	27.8	53	3.83	18	16.3	53	80.7	87	43	50	19	74	48	61	47	5	43.7	48.3	63.6	43.2	57.4	3585000	1015000	Pilot	8.96	51.24	5	3	10	13	7.7	8.9	9.5	9.6	Warm intro	Cost-savings diagnostic	A	0	80	1	0	0	1367450	212600	0.639	0.639	0	19	15	64.5	67.4	57.7	35.9	106	1180297	2.53	DEWA is a Dubai-based utilities corporate in the large with high pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; COO is the strongest secondary expansion path.	Dubai Media City	Commercial hub with strong brand, growth, and marketing execution relevance.	Dubai	Dubai	UAE	25.099649999999997	55.15305
DXB012	Empower	Dubai	Utilities	Tier 3	7.95	Upper-Mid	11.2	1153	COO	52.6	CMO	46.5	COO lead + CMO add-on + AI support	COO-led advisory	2615000	70.4	1471700	2146229	0.602	885963	47.4	Monitor	Operational complexity	Digitally Mature	CTO	Automation Scout Agent; Architecture Assistant; Incident Triage Agent	Offer pilot with AI add-ons	25.8	3.6	80	21	5	44	9.4	83	1.41	13.2	16	44	73.2	34	87	79	41	89	59	49	49	2	37.7	43.3	42.6	46.5	52.6	3715000	1100000	Negotiation	5.5	44.54	1	2	11	11	7.9	11.8	5.6	10.6	Partner referral	Transformation workshop	B	1	80	1	0	0	1245900	225800	0.544	0.494	10.1	34	14	55	59.8	61.3	36.9	136	885963	2.38	Empower is a Dubai-based utilities corporate in the upper-mid with monitor pressure, where a COO-led offer is most relevant because the account shows signals of operational complexity; CMO is the strongest secondary expansion path.	Dubai South	Logistics and expansion corridor with execution and operating-efficiency relevance.	Dubai	Dubai	UAE	24.88665	55.1684
DXB013	Salik	Dubai	Transport Infrastructure	Tier 4	2.32	Mid	7	1108	COO	64.5	CHRO	57	COO lead + CHRO add-on + AI support	COO-led advisory	2540000	70	1330550	2109224	0.498	662614	64.9	Moderate	Operational complexity	Managed Complexity	CMO	Campaign Insights Agent; Content Performance Agent; Lead Funnel Agent	Share tailored problem map	20.6	2.6	76	33	31	52	18.8	72	1.48	19.7	13.4	46	66.7	76	41	37	58	86	30	41	88	4	55.7	55.1	57	55.9	64.5	3630000	1090000	Discovery	3.9	57.64	4	4	8	1	4.6	5.4	5.3	9.9	Industry event	CXO advisory sprint	B	0	17	12	2	0	1139550	191000	0.638	0.638	0	61	15	59	63.8	59.6	36.5	119	662614	2.33	Salik is a Dubai-based transport infrastructure corporate in the mid with moderate pressure, where a COO-led offer is most relevant because the account shows signals of operational complexity; CHRO is the strongest secondary expansion path.	Jebel Ali	Trade and industrial base where COO and CFO interventions often have strong logic.	Dubai	Dubai	UAE	24.98535	55.06255
DXB014	Parkin	Dubai	Transport Infrastructure	Tier 2	13.24	Large	12.6	9761	CHRO	74.2	COO	63.5	CHRO lead + COO add-on + AI support	CHRO-led advisory	2570000	71.7	1618550	3906101	0.648	1048820	75.3	High	People scaling	Scale-up Pressure	CMO	Campaign Insights Agent; Content Performance Agent; Lead Funnel Agent	Send commercial proposal	37.1	19.4	66	39	21	35	19.9	62	1.16	-1.5	8.7	42	83.5	93	20	89	71	76	55	46	63	9	43.2	55.2	74.2	56.5	63.5	3585000	1015000	Proposal	11.41	58.52	9	12	2	5	16.1	10.7	10.6	15.6	Industry event	Cost-savings diagnostic	B	0	20	14	3	2	1397550	221000	0.754	0.754	0	31	22	69.6	70.6	60.1	33.8	114	1048820	2.53	Parkin is a Dubai-based transport infrastructure corporate in the large with high pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; COO is the strongest secondary expansion path.	Dubai Media City	Commercial hub with strong brand, growth, and marketing execution relevance.	Dubai	Dubai	UAE	25.0839	55.15865
DXB015	Dubai Financial Market	Dubai	Financial Services	Tier 4	0.86	Mid	4.4	2303	CHRO	56.8	CFO	50.4	CHRO lead + CFO add-on + AI support	CFO-led governance	2800000	72.9	1309500	1802943	0.438	573561	54.2	Moderate	People scaling	Digitally Mature	CMO	Campaign Insights Agent; Content Performance Agent; Lead Funnel Agent	Share tailored problem map	40.4	3.9	80	33	28	75	25.1	66	2.85	7.2	8	88	85.5	52	84	85	37	49	62	29	37	3	50.4	37.6	56.8	46.8	33.5	3840000	1040000	Discovery	9.47	45.02	9	4	6	1	3.2	3.8	5.6	5.2	Industry event	CXO advisory sprint	A	0	78	9	2	2	1080100	229400	0.525	0.525	0	64	13	59.6	61.6	63.8	34.6	124	573561	2.69	Dubai Financial Market is a Dubai-based financial services corporate in the mid with moderate pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CFO is the strongest secondary expansion path.	DIFC	Financial district with strong executive and transformation demand.	Dubai	Dubai	UAE	25.2088	55.276450000000004
DXB016	Dubai Islamic Bank	Dubai	Banking	Tier 1	38.06	Mega	13	26591	CMO	69.1	CHRO	50	CMO lead + CHRO add-on + AI support	CFO-led governance	2400000	70	1791250	3423323	0.645	1155356	58.7	Moderate	Growth efficiency	Scale-up Pressure	CTO	Automation Scout Agent; Architecture Assistant; Incident Triage Agent	Offer pilot with AI add-ons	24.5	11.3	61	29	10	63	12.8	82	1.29	23.5	4.6	49	67.5	41	42	37	56	16	74	14	32	2	38	46.5	50	69.1	41.2	3430000	1030000	Negotiation	12.18	48.96	12	6	3	14	10.6	10.1	15.7	16.9	Industry event	Transformation workshop	C	1	78	4	1	1	1547450	243800	0.579	0.529	9.5	28	18	60.3	59.7	58.3	38.4	123	1155356	2.33	Dubai Islamic Bank is a Dubai-based banking corporate in the mega with moderate pressure, where a CMO-led offer is most relevant because the account shows signals of growth efficiency; CHRO is the strongest secondary expansion path.	DIFC	Financial district with strong executive and transformation demand.	Dubai	Dubai	UAE	25.20075	55.293600000000005
DXB017	Emirates NBD	Dubai	Banking	Tier 3	5.51	Upper-Mid	10.5	24329	CHRO	64.7	CFO	57.6	CHRO lead + CFO add-on + AI support	CFO-led governance	2800000	72.9	1406600	1731397	0.488	686421	57.6	Moderate	People scaling	Managed Complexity	CMO	Campaign Insights Agent; Content Performance Agent; Lead Funnel Agent	Share tailored problem map	38.3	6	71	49	27	78	24.7	86	0.95	-0.2	5.8	53	82.6	38	83	56	38	18	25	39	84	6	57.6	31.6	64.7	54.9	38.2	3840000	1040000	Discovery	13.91	49.4	6	2	13	7	7.6	6.4	14.2	13.6	Industry event	Cost-savings diagnostic	A	1	78	13	4	3	1221600	185000	0.686	0.636	7.9	54	12	50.8	60.2	59.1	37.1	125	686421	2.69	Emirates NBD is a Dubai-based banking corporate in the upper-mid with moderate pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CFO is the strongest secondary expansion path.	DIFC	Financial district with strong executive and transformation demand.	Dubai	Dubai	UAE	25.21895	55.278200000000005
DXB018	Mashreqbank	Dubai	Banking	Tier 3	7.78	Upper-Mid	13.2	12837	CHRO	71.5	CFO	65.3	CHRO lead + CFO add-on + AI support	CFO-led governance	2800000	72.9	1535650	2078712	0.467	717149	71.5	High	People scaling	Managed Complexity	COO	Workflow Monitoring Agent; SLA Alert Agent; Process Mining Agent	Book discovery call	23.2	1.9	85	44	29	91	27.6	88	3.53	18.9	12.3	72	66.8	79	73	64	41	54	92	76	78	6	65.3	49.7	71.5	49.8	54.8	3840000	1040000	Qualified	9.77	58.22	9	3	13	14	7.9	10	14.5	14.5	Founder referral	Cost-savings diagnostic	C	0	35	4	1	0	1270250	265400	0.686	0.686	0	93	12	77.8	76.5	65.2	29.5	105	466147	2.69	Mashreqbank is a Dubai-based banking corporate in the upper-mid with high pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CFO is the strongest secondary expansion path.	DIFC	Financial district with strong executive and transformation demand.	Dubai	Dubai	UAE	25.20425	55.285900000000005
DXB019	du	Dubai	Telecommunications	Tier 2	23.02	Large	9.7	2406	COO	58.8	CTO	57.1	COO lead + CTO add-on + AI support	CTO-led transformation	2850000	71.8	1733300	3256897	0.424	734919	61	Moderate	Operational complexity	Managed Complexity	CMO	Campaign Insights Agent; Content Performance Agent; Lead Funnel Agent	Book discovery call	24.8	7.6	65	22	21	50	14.1	37	2.05	4.5	8.1	51	72.7	72	70	90	66	85	84	47	73	4	49.6	57.1	47	53.7	58.8	3970000	1120000	Qualified	4.96	53.24	14	10	3	6	9.1	8.9	7.7	12.4	Founder referral	Cost-savings diagnostic	A	0	77	12	4	3	1477500	255800	0.64	0.64	0	76	17	71.8	68.1	61.1	34.1	143	734919	2.54	du is a Dubai-based telecommunications corporate in the large with moderate pressure, where a COO-led offer is most relevant because the account shows signals of operational complexity; CTO is the strongest secondary expansion path.	Dubai Internet City	Technology-heavy corridor where digital maturity and transformation needs are highly visible.	Dubai	Dubai	UAE	25.093400000000003	55.142999999999994
DXB020	ENOC	Dubai	Energy	Tier 1	38.41	Mega	13.7	6463	CHRO	61.1	CTO	52.3	CHRO lead + CTO add-on + AI support	CHRO-led advisory	2650000	72.2	1741450	3486726	0.396	689614	52.7	Monitor	People scaling	Scale-up Pressure	CMO	Campaign Insights Agent; Content Performance Agent; Lead Funnel Agent	Book discovery call	28.7	9.3	70	58	5	69	22.2	41	1.49	16.2	15.8	87	84.1	30	57	36	62	70	65	16	55	11	45.2	52.3	61.1	49.4	43	3670000	1020000	Qualified	7.08	50.2	5	11	13	8	14.2	14	11.7	12.4	LinkedIn outbound	Cost-savings diagnostic	C	0	12	2	1	0	1508450	233000	0.627	0.627	0	95	19	58.2	61.9	66.6	33.4	107	448249	2.6	ENOC is a Dubai-based energy corporate in the mega with monitor pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CTO is the strongest secondary expansion path.	Jebel Ali	Trade and industrial base where COO and CFO interventions often have strong logic.	Dubai	Dubai	UAE	24.984650000000002	55.06185
DXB021	Dubai Refreshment	Dubai	Consumer Goods	Tier 4	2.34	Mid	17.4	6050	CHRO	63.8	CFO	49.8	CHRO lead + CFO add-on + AI support	CHRO-led advisory	2800000	72.9	1321150	1396716	0.437	577343	54.1	Moderate	People scaling	Scale-up Pressure	COO	Workflow Monitoring Agent; SLA Alert Agent; Process Mining Agent	Share tailored problem map	21.2	17	63	57	31	47	11.6	91	2.81	-3	11.9	50	82.3	33	5	66	52	50	72	50	70	9	49.8	45.4	63.8	41	47.6	3840000	1040000	Discovery	8.62	49.52	1	13	5	1	14.5	19.7	15.7	18.5	LinkedIn outbound	CXO advisory sprint	B	0	94	7	3	2	1079750	241400	0.523	0.523	0	64	10	59.1	57.8	57.6	38.5	121	577343	2.69	Dubai Refreshment is a Dubai-based consumer goods corporate in the mid with moderate pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CFO is the strongest secondary expansion path.	Dubai Internet City	Technology-heavy corridor where digital maturity and transformation needs are highly visible.	Dubai	Dubai	UAE	25.0913	55.1395
DXB022	Union Properties	Dubai	Real Estate	Tier 1	28.27	Mega	9.4	3577	CFO	56	CMO	51.4	CFO lead + CMO add-on + AI support	COO-led transformation	2835000	70.6	2000450	3868143	0.483	966217	52.7	Monitor	Finance stress	Managed Complexity	CTO	Automation Scout Agent; Architecture Assistant; Incident Triage Agent	Share tailored problem map	22.8	0	72	71	25	34	20.5	26	2.22	18.8	12.7	73	94.3	45	72	78	63	42	80	38	56	4	56	44.6	42.8	51.4	34.4	4015000	1180000	Discovery	8.3	45.84	10	8	3	14	10.1	9.1	10.3	11.3	Partner referral	Cost-savings diagnostic	C	1	37	8	3	1	1749450	251000	0.724	0.674	7.4	63	18	63.6	67.9	67.7	31.5	109	966217	2.4	Union Properties is a Dubai-based real estate corporate in the mega with monitor pressure, where a CFO-led offer is most relevant because the account shows signals of finance stress; CMO is the strongest secondary expansion path.	Downtown Dubai	Central business location with high executive visibility and cross-functional complexity.	Dubai	Dubai	UAE	25.21435	55.28945
DXB023	Deyaar Development	Dubai	Real Estate	Tier 3	6.78	Upper-Mid	3.5	12477	CHRO	72.4	CFO	53.2	CHRO lead + CFO add-on + AI support	COO-led transformation	2800000	72.9	1478250	3001239	0.636	940167	71.9	High	People scaling	Managed Complexity	CMO	Campaign Insights Agent; Content Performance Agent; Lead Funnel Agent	Send commercial proposal	28.9	6.6	58	45	8	59	26.6	62	3.45	9.3	8	69	87.8	94	75	90	48	31	43	76	81	8	53.2	43.7	72.4	51.5	46	3840000	1040000	Proposal	11.33	53.36	9	4	4	13	0.3	3.4	5.8	5	Warm intro	Transformation workshop	B	0	18	9	3	2	1271650	206600	0.745	0.745	0	37	19	62.1	65	61.6	34.6	104	940167	2.69	Deyaar Development is a Dubai-based real estate corporate in the upper-mid with high pressure, where a CHRO-led offer is most relevant because the account shows signals of people scaling; CFO is the strongest secondary expansion path.	Downtown Dubai	Central business location with high executive visibility and cross-functional complexity.	Dubai	Dubai	UAE	25.199299999999997	55.27405
